specification,term,coefficient,se_hc3,pvalue,n
municipality_equal,const,-2.9609376451265814,0.02857013133639219,0.0,1740
municipality_equal,population_density,0.4480149876423024,0.03584379827833182,7.550732434522109e-36,1740
municipality_equal,aging_share_65plus,-0.44436857523323275,0.160152228871535,0.0055258816973764,1740
municipality_equal,working_age_share_15_64,0.10553446064882503,0.14430163835570012,0.4645676933324474,1740
municipality_equal,youth_share_0_14,-0.15671281773479256,0.06984661772509251,0.024853589218867322,1740
commuters_weighted,const,-2.6693167630771493,0.0002122380206750954,0.0,1740
commuters_weighted,population_density,0.3024490008085171,8.998661479701629e-05,0.0,1740
commuters_weighted,aging_share_65plus,-0.5914215581574415,0.00043572043457941505,0.0,1740
commuters_weighted,working_age_share_15_64,0.136117893079925,0.0003716167601643766,0.0,1740
commuters_weighted,youth_share_0_14,-0.2946981844670189,0.00030995393916679443,0.0,1740
