method,n_clusters,silhouette,calinski_harabasz,davies_bouldin
kmeans,2,0.7775064192202916,758.7719616769572,0.6666864294583641
hierarchical_ward,2,0.8070357757004529,732.6819445852224,0.6097644473408548
kmeans,3,0.24436239489774064,729.1936346963291,1.1946758780256426
hierarchical_ward,3,0.22000277811118912,680.1042424509824,1.25620121859062
kmeans,4,0.24755546844272383,757.1063331402185,1.1222961917737098
hierarchical_ward,4,0.22430870907235137,635.7020031400212,1.237771536790996
kmeans,5,0.2473679345702307,685.2329320975334,1.0443190316813202
hierarchical_ward,5,0.22582397671697582,627.9537265364601,1.0723909945205679
kmeans,6,0.1714149672268277,635.2768503447229,1.2673428697569475
hierarchical_ward,6,0.11947107960612101,557.358798870094,1.4242222167257175
kmeans,7,0.17115113969863158,598.0220226063814,1.2794057994653425
hierarchical_ward,7,0.11940089726059565,511.77175522212156,1.3447242627394473
kmeans,8,0.17196702376049264,562.9570937962694,1.302915438204723
hierarchical_ward,8,0.08201235762807267,476.75278892560016,1.5801182809390069
