lower,upper,n,local_effect,ale,ale_centered
302557.0,2038546.85,87,0.0003574726574088867,0.0003574726574088867,-0.00477607593813409
2038546.85,3463405.6,87,-0.0011801503939217301,-0.0008226777365128434,-0.005956226332055821
3463405.6,5195526.95,87,0.00035483239479102633,-0.00046784534172181707,-0.005601393937264794
5195526.95,7017501.600000001,87,-0.0016184054546371047,-0.002086250796358922,-0.007219799391901899
7017501.600000001,8571199.75,87,0.00019606713756233115,-0.0018901836587965908,-0.007023732254339568
8571199.75,11380652.200000001,87,-0.00024088393616749403,-0.002131067594964085,-0.007264616190507061
11380652.200000001,14233256.300000004,87,0.0002588370488381111,-0.0018722305461259738,-0.007005779141668951
14233256.300000004,17465975.400000002,87,0.00035851569319268175,-0.001513714852933292,-0.006647263448476269
17465975.400000002,22433262.3,87,-0.00144595437314706,-0.002959669226080352,-0.008093217821623328
22433262.3,28326213.5,87,0.0007475276744232405,-0.002212141551657112,-0.007345690147200089
28326213.5,35678379.25000002,87,0.00022096955939361458,-0.0019911719922634974,-0.007124720587806475
35678379.25000002,43289376.200000025,87,-0.0009355982941017485,-0.002926770286365246,-0.008060318881908224
43289376.200000025,54523711.60000003,87,-0.0007011681933394568,-0.003627938479704703,-0.00876148707524768
54523711.60000003,68043331.30000001,87,0.0025434395102920822,-0.0010844989694126206,-0.006218047564955597
68043331.30000001,85901087.5,87,0.00172875886701606,0.0006442598976034394,-0.004489288697939537
85901087.5,117702991.4,87,0.0014000751758209663,0.002044335073424406,-0.003089213522118571
117702991.4,156751588.00000003,87,0.004012807054389044,0.00605714212781345,0.0009235935322704728
156751588.00000003,247074902.60000062,87,0.010815014734553706,0.016872156862367156,0.011738608266824178
247074902.60000062,486159467.1000035,87,0.013603366130012068,0.030475522992379225,0.025341974396836248
486159467.1000035,7768948349.0,87,0.04133072034038081,0.07180624333276003,0.06667269473721706
