lower,upper,n,local_effect,ale,ale_centered
0.07,0.15,78,0.0033293650971162594,0.0033293650971162594,-0.01726840858844965
0.15,0.18,85,0.005064136323224332,0.008393501420340592,-0.012204272265225318
0.18,0.22,90,0.001666949436650184,0.010060450856990776,-0.010537322828575134
0.22,0.25,84,0.0011050142112338343,0.01116546506822461,-0.0094323086173413
0.25,0.28,86,0.0025701192870450098,0.01373558435526962,-0.00686218933029629
0.28,0.31,83,0.0023930530951357582,0.016128637450405377,-0.004469136235160532
0.31,0.35,99,0.0021723324517396356,0.018300969902145012,-0.0022968037834208976
0.35,0.38,70,0.002247442963943677,0.02054841286608869,-4.9360819477220486e-05
0.38,0.42,92,0.002179600231993406,0.022728013098082096,0.002130239412516187
0.42,0.46,89,0.003389556012976505,0.0261175691110586,0.005519795425492691
0.46,0.5,100,-0.008433388025226128,0.017684181085832473,-0.002913592599733436
0.5,0.55,86,0.00038331130712927796,0.01806749239296175,-0.0025302812926041585
0.55,0.6,81,0.002257927623911933,0.020325420016873683,-0.0002723536686922261
0.6,0.65,92,-0.0004024534585931707,0.019922966558280512,-0.000674807127285397
0.65,0.71,85,0.00277963873205244,0.022702605290332953,0.0021048316047670435
0.71,0.77,82,0.0021911993120504714,0.024893804602383423,0.0042960309168175136
0.77,0.83,85,0.001674353407824852,0.026568158010208273,0.005970384324642364
0.83,0.9,93,0.004263407360681581,0.030831565370889855,0.010233791685323946
0.9,0.99,85,0.007173072200841112,0.03800463757173097,0.01740686388616506
0.99,2.21,95,0.0010433045524752536,0.039047942124206224,0.018450168438640314
