lower,upper,n,local_effect,ale,ale_centered
0.0,40.0,71,-0.0020814698867072387,-0.0020814698867072387,0.02423806774232772
40.0,80.0,94,-0.004000671291987573,-0.006082141178694812,0.020237396450340145
80.0,120.0,91,-0.005550673299362987,-0.0116328144780578,0.014686723150977157
120.0,158.0000000000001,92,-0.0024910728044943487,-0.014123887282552148,0.012195650346482808
158.0000000000001,200.0,81,-0.0012513170061148398,-0.015375204288666988,0.010944333340367969
200.0,240.0,82,-0.00030604319139344876,-0.015681247480060438,0.010638290148974518
240.0,290.0,97,-0.0022295516071231813,-0.01791079908718362,0.008408738541851337
290.0,340.0,81,-0.0014407376350954954,-0.019351536722279114,0.0069680009067558425
340.0,410.0,90,-0.0028976991067062923,-0.022249235828985407,0.004070301800049549
410.0,470.0,90,-0.0009804924910334892,-0.023229728320018895,0.0030898093090160617
470.0,540.0,83,-0.0018424096595206002,-0.025072137979539496,0.0012473996494954606
540.0,620.0,83,-0.002533332782135239,-0.027605470761674734,-0.0012859331326397772
620.0,720.0,87,-0.0022567892027198807,-0.029862259964394615,-0.0035427223353596583
720.0,860.0,93,-0.0014916622555730486,-0.03135392221996766,-0.005034384590932705
860.0,1020.0,87,-0.0027395486959245173,-0.03409347091589218,-0.007773933286857226
1020.0,1230.0,89,-0.0024128683115583176,-0.0365063392274505,-0.010186801598415545
1230.0,1510.0,87,-0.0052069940942477185,-0.04171333332169822,-0.015393795692663265
1510.0,1940.0,86,-0.0031566236738496067,-0.04486995699554783,-0.01855041936651287
1940.0,2693.5000000000127,89,-0.004454430240566604,-0.04932438723611443,-0.023004849607079474
2693.5000000000127,9630.0,87,-0.005965355979122128,-0.05528974321523656,-0.028970205586201603
