feature,mean_importance,sd_across_folds,n_folds
E9106,0.056413106430340254,0.0019945387518715955,5
F1301,0.021778574162533877,0.004886783226598792,5
D2201,0.008296442475812937,0.003095638232586798,5
C120110,0.005223500536310757,0.0013394653425284782,5
F1307,0.004430397305955257,0.0013999888499865787,5
F1102,0.002658764349085774,0.0006098889047408096,5
A1302,0.001267649117245913,0.0005382201624378784,5
A1401,0.0011458602407264072,0.000316616540023372,5
A1301,0.001046304591782807,0.0005144441918446789,5
A1402,0.0009741446785652048,0.000244993742000475,5
F1108,0.0009504724161118201,0.0006449041610671604,5
A1303,0.0008997897876183034,0.000607302137661153,5
A1102,0.0008585977980196246,0.00040572705631634,5
F1107,0.0006684814768957471,0.0003274724609207666,5
A1101,0.0006680577541934733,0.00015291181567868338,5
