feature,x,partial_dependence
C120110,1082563.0,0.06176851288989465
C120110,1742402.6492307691,0.061777149872536706
C120110,2627481.0384615385,0.06182847754207275
C120110,3382078.6092307693,0.061720110019276256
C120110,3951910.933846154,0.06174379314705995
C120110,4974568.887692308,0.06192604815044333
C120110,5691107.706153845,0.06195325418812544
C120110,6579306.423076922,0.061735648923097075
C120110,7559464.238461538,0.061838957620313446
C120110,8298868.764615384,0.06181064434370185
C120110,9159314.021538462,0.06179102132483342
C120110,10878330.073846156,0.06180377654198571
C120110,12328515.576923076,0.06183788617804887
C120110,13696602.7,0.06187745909839274
C120110,15319648.733846154,0.06194429616140212
C120110,16742434.223076925,0.06193544254499974
C120110,18639701.84923077,0.0620680584617316
C120110,20955350.66923077,0.061838535686375644
C120110,24300986.226153847,0.061822975743496045
C120110,27128357.69846154,0.06194344740568462
C120110,29786092.935384616,0.06227828268804177
C120110,33418103.632307693,0.06222780839120831
C120110,37273415.461538464,0.06212704365029185
C120110,40566957.664615385,0.06213049693652764
C120110,45628480.00769231,0.0622247767208526
C120110,50586370.47692308,0.062130181718647634
C120110,56000163.04,0.06223828925767531
C120110,63413967.89230769,0.0627498628452768
C120110,70312566.54,0.0630056207564345
C120110,78648514.38461539,0.06457550451497919
C120110,91267249.66000003,0.06762347426946486
C120110,105076469.69846155,0.06849640262256255
C120110,122930606.11538462,0.06977381164835042
C120110,138082762.1246154,0.07127422734437035
C120110,164088768.0153846,0.07463513103680844
C120110,203840099.34000003,0.07915833296241627
C120110,269859816.6692308,0.0877907450126986
C120110,372139917.22307694,0.09450097995489593
C120110,545971072.547693,0.11324434338348768
C120110,1027844207.4000006,0.12096968827928947
