feature,x,partial_dependence
D2201,0.12,0.05267832567652026
D2201,0.14586153846153835,0.052735696693756724
D2201,0.16,0.05375343428604561
D2201,0.18,0.054624499077302574
D2201,0.2,0.055119702982767076
D2201,0.21,0.0560347629460154
D2201,0.23,0.05668817929506657
D2201,0.24,0.05750168541596815
D2201,0.26,0.05858274273608191
D2201,0.27,0.059173468845329646
D2201,0.29,0.06047650935420975
D2201,0.30647692307692354,0.06098897247048345
D2201,0.32,0.0612894156420971
D2201,0.34,0.06195986131081642
D2201,0.36,0.06302080521299265
D2201,0.38,0.06550220573607111
D2201,0.39,0.0661037978274247
D2201,0.41,0.06768394565362593
D2201,0.43,0.0695746335914965
D2201,0.45,0.07067528112314189
D2201,0.46,0.07191060153482944
D2201,0.48,0.06956979126492079
D2201,0.51,0.06904811321630934
D2201,0.53,0.06818788556764815
D2201,0.56,0.0677922050956621
D2201,0.59,0.06662079343773818
D2201,0.61,0.06694995611184018
D2201,0.63,0.06659288325489579
D2201,0.66,0.06531884199535685
D2201,0.69,0.06509806640510206
D2201,0.71,0.06578805154651421
D2201,0.75,0.06683445767828011
D2201,0.79,0.06768249718380506
D2201,0.82,0.06872439844389312
D2201,0.84,0.06918531766411241
D2201,0.88,0.07002106604526229
D2201,0.91,0.07069716872503436
D2201,0.96,0.07208167326294022
D2201,1.0041384615384619,0.0718771328724894
D2201,1.1722000000000001,0.07245676932669966
