feature,x,partial_dependence
F1301,17.80000000000001,0.1043308879214297
F1301,40.0,0.10190223013736674
F1301,50.0,0.1006651729909555
F1301,70.0,0.09818014639263949
F1301,100.0,0.09089428528048185
F1301,110.0,0.08918874249784782
F1301,130.0,0.0874350435385977
F1301,150.0,0.0859376081885582
F1301,170.0,0.08503152778190652
F1301,190.0,0.0840917574133782
F1301,210.0,0.08337560960817457
F1301,230.0,0.08291222510944592
F1301,260.0,0.08176657698553458
F1301,280.0,0.08100011942454072
F1301,300.6615384615384,0.07951148034194079
F1301,330.0,0.07842687613813376
F1301,360.0,0.07657769560062355
F1301,390.0,0.07464610824446186
F1301,420.0,0.07330484232111723
F1301,440.96923076923076,0.07245796075606097
F1301,480.0,0.07054794559611223
F1301,520.0,0.06922814990878487
F1301,560.0,0.06809041169430698
F1301,600.0,0.06682698061410001
F1301,650.0,0.06527080170802307
F1301,700.0,0.06419214816606349
F1301,750.0,0.0629888307705241
F1301,805.4615384615386,0.061890584240098113
F1301,890.0,0.059669040153035695
F1301,970.0,0.05794532141222864
F1301,1050.0,0.05516429220923961
F1301,1147.7076923076925,0.053862370942723975
F1301,1270.0,0.052051819251556754
F1301,1373.8307692307694,0.05112127791150995
F1301,1540.0,0.048529029866809056
F1301,1759.9538461538464,0.04698401208464477
F1301,2008.0153846153848,0.04571847043092494
F1301,2360.0,0.043796326809985325
F1301,2844.138461538462,0.04268738069590897
F1301,3804.4000000000005,0.041997345443159584
