component,explained_variance_ratio
1,0.7571008385981257
2,0.06911387242660602
3,0.037319489785830814
4,0.035241567505039526
5,0.02772711439683103
6,0.023382733576570166
7,0.014212110810688556
8,0.012808329342701064
9,0.006749700536337014
10,0.004285509058271654
11,0.0037132500722435817
12,0.002800595850301038
13,0.0014341199989899294
14,0.0010630045798011155
15,0.0008138423930102031
16,0.0005551835020545709
17,0.0003867386965688024
18,0.00033534699015386465
19,0.0002063610842382625
20,0.00018599767741960454
21,0.00015215630480055014
22,0.00013545081408927243
23,7.91276270672582e-05
24,5.011030825731629e-05
25,3.8658465166458386e-05
26,3.432982519081437e-05
27,2.72339805606241e-05
28,2.080217742588133e-05
29,9.581959879293227e-06
30,9.354849033058759e-06
31,3.248339685589219e-06
32,2.1233885990320853e-06
33,1.3590271099112715e-06
34,7.560513523024263e-07
35,0.0
