code,prefecture_name,municipality_name,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302,rail_any_share,rail_users,commuters,car_users,bike_users,car_any_share,bike_share,A1401,A1402,B1104,C120110,C120120,D2201,D2202,E9106,F1101,F1301,F1307,F1311,I5101,I5211,population_density,aging_share_65plus,working_age_share_15_64,youth_share_0_14,log_commuters,rail_pp,year,log_population,share_75plus,foreign_population_share,single_household_share,elderly_single_household_share,unemployment_rate,non_labor_force_share,primary_industry_share,secondary_industry_share,tertiary_industry_share,group_oof_prediction,group_oof_residual
47205,沖縄県,宜野湾市,100125,48826,51299,94625,45803,48822,16651,8398,8253,60492,29913,30579,18925,8259,10666,8969,3552,5417,1572,969,827,4643,4871,44163,44113,98885,23148,18087,7107,3049,4038,503,222,1980,1866,3642,2,0,2,291,96,2,55,48,871,40,328,203,515,348,204,408,18,211,34210,9,0,59,3341,1640,10,1480,1151,8561,431,1136,1279,3096,1432,1578,5900,339,2768,32,32,465,91.4,6.4,57839228,12599329,55696291,25005015,5509121,7139414,0,12,644,10,421,6962,5,219,3248,0,0,0,0,4,2559,36086,18981,17105,2152,1291,861,20621,7688,12933,264,4906,29268,1,1,100137,6913,667,460,17,3,50,44,102,55,98,31,0.0009473684210526315,36.0,38000.0,26447.0,592.0,0.6959736842105263,0.015578947368421053,1080.0,1167.0,0.0,121077781.0,41619.0,0.68,7.2,12750.0,38238.0,100.0,740.0,160.0,4.0,786.0,50.56818181818182,0.18901373283395756,0.6041647940074907,0.16630212234706618,10.545367754151743,0.09473684210526315,2020,11.514184671836391,0.08957802746566791,0.015700374531835207,0.4100151882664974,0.09153764196495365,0.05627909409487944,0.35034574151786474,0.007665950403623904,0.1424589116673442,0.8498751379290319,0.26359790417034035,-0.2626505357492877
47201,沖縄県,那覇市,317625,154042,163583,304596,147035,157561,46166,23507,22659,189536,94267,95269,72287,30775,41512,35654,13470,22184,4575,2202,3443,13068,14809,144355,144011,309717,72286,62298,25826,10999,17779,1300,640,4146,4126,16770,20,4,9,829,338,8,383,300,3833,352,1995,1015,3054,1359,768,1433,57,1013,161824,180,19,63,9026,3216,287,7724,9491,29409,7289,7902,8272,20929,6507,5454,25027,1834,19195,62,31,1561,90.4,8.6,187068826,54048320,178547046,95348167,14222793,16326612,0,6,452,36,1081,18041,20,711,9967,0,0,0,0,12,11043,125837,66888,58949,8070,4848,3222,78641,28591,50050,824,12244,107615,7,8,315465,428,2826,2662,65,15,263,171,861,248,643,93,0.05555640162648676,7296.0,131326.0,58237.0,5043.0,0.4434536953840062,0.038400621354491876,2871.0,3026.0,0.0,448608358.0,135371.0,0.84,11.3,50712.0,133907.0,240.0,3280.0,520.0,17.0,3167.0,76.68396909705456,0.22758598976780794,0.5967288469106651,0.14534750098386462,11.785445675098924,5.555640162648675,2020,12.668629868984294,0.11225186934277843,0.014403778040141677,0.43259195478123197,0.12345584712278923,0.06026570679650802,0.3699917195174737,0.0068278050761084825,0.10145588028139838,0.8917163146424931,0.3130887012389369,-0.25753229961245017
47208,沖縄県,浦添市,115690,55977,59713,113147,54713,58434,19722,10035,9687,71286,35105,36181,23180,10209,12971,11025,4408,6617,1135,994,1002,4719,4955,47331,47249,113388,27425,16256,8412,3798,4743,533,261,1944,1870,5416,3,1,2,418,133,6,96,119,1304,91,688,323,691,392,228,545,21,355,61586,4,9,2,4517,2988,1078,1870,3593,17722,1008,1962,2657,4199,1644,1555,9740,445,6593,20,24,559,91.0,5.6,59815018,17894332,58210963,29857833,4218988,4325051,0,1,77,11,465,7424,6,288,4336,0,0,0,0,6,4446,44947,23594,21353,2423,1451,972,25179,9333,15846,172,5781,36730,3,1,115397,664,868,625,27,7,85,57,322,92,250,32,0.01381544571010555,661.0,47845.0,29066.0,1287.0,0.6075033963841572,0.02689936252481973,1287.0,1268.0,0.0,149485864.0,49179.0,0.81,5.3,15027.0,47370.0,90.0,740.0,80.0,7.0,1351.0,59.32820512820513,0.20036303915636616,0.6161811738266055,0.17047281528221972,10.775742798820527,1.381544571010555,2020,11.658678122775015,0.09529777854611461,0.009810701011323364,0.3440496095155453,0.1003830768905162,0.05115051720498206,0.3470619856924286,0.004029707377644495,0.1354403392451327,0.8605299533772228,0.26516398117116685,-0.2513485354610613
47211,沖縄県,沖縄市,142752,69489,73263,136475,65838,70637,23829,12183,11646,85673,42248,43425,28854,12633,16221,13721,5312,8409,1993,1306,1348,5437,5978,60570,60453,139706,32730,23663,10055,4197,6743,693,342,4972,4071,5163,14,0,2,370,172,2,32,57,1154,79,447,202,881,472,259,624,17,379,46922,64,0,3,3880,1595,5,311,1484,8745,947,1591,1149,5569,1738,1571,12434,413,5423,39,40,664,91.1,5.6,81293466,16682797,78574481,44580091,4536691,8639097,0,19,854,16,577,9372,9,326,4831,0,0,0,0,6,4193,48643,25681,22962,3116,1855,1261,29781,10935,18846,542,7443,38058,1,1,141942,8533,976,740,18,7,82,58,397,80,266,56,0.0006980802792321117,36.0,51570.0,38697.0,921.0,0.7503781268179174,0.017859220477021525,1504.0,1644.0,0.0,158112089.0,54884.0,0.59,10.2,12999.0,51759.0,360.0,580.0,170.0,9.0,1666.0,28.711182622687048,0.20212676529926027,0.6001527123963237,0.16692585743106927,10.850714777975867,0.06980802792321117,2020,11.86887114305925,0.09611774265859672,0.013961275498767092,0.3914280515441748,0.11154119729376541,0.06020209045769818,0.3652317880794702,0.011771604804204765,0.16165323719132116,0.8265751580044741,0.19816314546602493,-0.19746506518679283
14301,神奈川県,葉山町,31665,14914,16751,31126,14607,16519,3955,2043,1912,17156,8284,8872,10071,4307,5764,5672,2341,3331,234,133,439,910,1049,12932,12913,31058,8842,3261,3932,2189,1723,65,45,1704,823,971,0,0,0,114,24,2,23,12,238,2,83,74,133,87,39,85,4,51,6817,0,0,0,526,183,6,62,212,1439,21,233,359,1047,498,382,1379,136,334,14,88,200,91.1,-2.7,13327056,5837762,12609115,4156504,1929916,1136053,0,5,521,4,126,1751,2,63,825,0,0,0,0,0,0,13996,7572,6424,447,280,167,10773,3770,7003,146,1935,11501,1,1,31118,66,194,103,4,1,15,15,24,19,44,5,0.09517794784159299,1281.0,13459.0,3277.0,485.0,0.24348019912326324,0.03603536666914332,195.0,252.0,0.0,67486134.0,14989.0,0.89,8.5,9023.0,14443.0,70.0,450.0,40.0,1.0,89.0,18.58274647887324,0.3180483183325438,0.5417969366808779,0.1249013105952945,9.50747760319872,9.5177947841593,2020,10.362998829061379,0.17912521711669036,0.00738986262434865,0.2525362038256021,0.13343142569503602,0.03094924877103095,0.42722874365482233,0.010749521425415992,0.14246797231630098,0.846782506258283,0.27326194521827396,-0.17808399737668096
47326,沖縄県,北谷町,28201,13483,14718,26731,12762,13969,4780,2434,2346,16975,8186,8789,5765,2572,3193,2807,1107,1700,787,235,249,1536,1487,11697,11684,27885,6592,4205,2154,857,1113,176,68,1391,1306,1371,0,0,0,82,16,1,14,11,338,22,146,55,293,156,50,113,5,69,13122,0,0,0,808,97,22,254,217,2962,256,535,273,3567,745,373,1858,34,1121,1,13,165,79.5,4.6,19331659,5809723,18015766,5981464,1645637,2532658,0,4,224,4,127,2095,2,70,1031,0,0,0,0,1,748,9955,5178,4777,676,403,273,6686,2528,4158,62,1318,8232,11,1,29115,318,302,246,6,2,14,16,30,24,19,10,0.0008586147681740126,9.0,10482.0,7964.0,212.0,0.7597786681930929,0.020225147872543408,305.0,338.0,0.0,38361580.0,11573.0,0.82,9.6,3163.0,10631.0,30.0,110.0,80.0,2.0,174.0,20.244795405599426,0.2044253749867026,0.6019290096095883,0.16949753554838481,9.257510176452573,0.08586147681740126,2020,10.247148176397175,0.09953547746533811,0.027906811815183858,0.35989387196165695,0.09525847312564191,0.06358762110808014,0.38609458913206673,0.006450270495214316,0.1371202663337495,0.8564294631710362,0.17877250241308654,-0.17791388764491253
47327,沖縄県,北中城村,17969,8667,9302,17453,8331,9122,2973,1474,1499,10528,5156,5372,4294,1925,2369,2247,893,1354,383,161,176,903,848,6558,6546,17236,4020,1802,1376,568,602,71,34,1154,948,734,2,0,0,51,19,0,6,16,229,9,51,28,105,66,29,69,3,51,7657,16,0,0,587,127,0,28,121,1869,39,137,245,1271,306,193,2506,34,178,16,57,99,81.0,5.6,9256284,2708215,8819650,3379552,484395,1028489,0,1,57,3,84,1334,1,41,541,0,0,0,0,1,821,6304,3364,2940,437,289,148,5194,2010,3184,68,921,4956,1,1,17941,0,216,92,3,3,7,7,130,14,80,5,0.00030079711234772146,2.0,6649.0,5265.0,77.0,0.7918483982553768,0.011580688825387276,196.0,200.0,0.0,22409856.0,7028.0,0.69,3.6,2140.0,6741.0,70.0,140.0,30.0,3.0,811.0,15.57105719237435,0.23896711002281706,0.5858979353330737,0.16545161110801937,8.8023721336499,0.030079711234772145,2020,9.796458979777604,0.1250486949746786,0.021314486059324393,0.2752826153376108,0.09196455850901314,0.06482717697670969,0.4351906158357771,0.011438183347350715,0.15492010092514719,0.8336417157275021,0.16638908401964875,-0.166088286907301
47212,沖縄県,豊見城市,64612,31465,33147,63684,31035,32649,12526,6347,6179,38759,19216,19543,12729,5657,7072,5924,2356,3568,367,663,535,2903,3211,24580,24537,63105,15722,7149,4773,2175,1962,305,123,1933,1809,2265,15,1,0,221,98,4,18,74,578,26,186,100,184,196,125,284,7,148,24656,58,13,0,1867,1052,8,207,1671,5259,226,1012,465,2476,778,705,6685,166,2008,189,134,321,87.6,8.7,33668647,7638603,33310694,16402878,2465782,4315239,49057,1,66,8,310,5203,4,178,2402,0,0,0,0,3,1840,26490,14147,12343,1347,822,525,14009,5070,8939,769,3232,21312,1,1,66031,289,464,147,11,4,42,23,271,24,142,16,0.002171552660152009,60.0,27630.0,18188.0,782.0,0.6582699963807456,0.028302569670647846,802.0,837.0,0.0,77980151.0,26884.0,0.65,2.4,7916.0,27837.0,710.0,330.0,120.0,4.0,828.0,33.46038322112895,0.19700674797251286,0.5998730885903547,0.19386491673373368,10.226693609806864,0.21715526601520088,2020,11.076170907915058,0.09168575496811737,0.005680059431684517,0.2913559114806211,0.07996087541264213,0.04838883500377196,0.33477512784973473,0.030379646821791173,0.12768142851499228,0.8419389246632165,0.16247755520998888,-0.16030600254983687
40343,福岡県,志免町,46377,22291,24086,45661,21918,23743,7487,3821,3666,27314,13498,13816,11034,4571,6463,5479,2014,3465,602,336,431,2093,2181,19005,18985,45501,11788,5832,4049,2043,1918,169,92,869,844,1619,0,0,0,167,130,1,11,90,439,21,138,37,170,125,40,153,6,91,16248,0,0,0,1055,1567,6,51,1615,4344,219,422,144,1695,625,397,3041,279,788,41,41,165,89.7,5.1,21357480,5901797,20150183,7192384,1410833,1617253,0,4,787,4,182,2854,2,104,1490,0,0,0,0,0,0,21161,11433,9728,873,507,366,12369,4094,8275,98,4132,16176,1,1,46588,908,291,144,9,4,33,21,99,45,92,8,0.05437505799387585,1172.0,21554.0,11179.0,1748.0,0.5186508304723021,0.08109863598404009,488.0,490.0,0.0,63888087.0,20636.0,0.75,9.4,6600.0,22034.0,70.0,290.0,50.0,5.0,586.0,53.368239355581125,0.23791965845138754,0.5889557323673372,0.16143778165901201,9.978363087181235,5.437505799387584,2020,10.744580487844381,0.11814045755439119,0.012980572266425168,0.3071898867526995,0.10102712667895707,0.03962058636652446,0.3595325989012586,0.004802509065960992,0.20248946388317163,0.7927080270508674,0.21436033047959313,-0.15998527248571728
47348,沖縄県,与那原町,19695,9554,10141,19282,9367,9915,3750,1945,1805,11665,5699,5966,3902,1759,2143,1764,709,1055,109,226,180,1050,1088,7949,7932,19343,4696,2677,1441,622,816,96,50,518,450,678,1,0,0,49,24,1,6,6,174,10,47,27,103,63,39,88,2,38,5990,1,0,0,443,160,25,22,164,1628,97,111,131,660,225,629,1524,28,142,11,26,100,87.3,7.4,8993421,1932187,8637922,4233717,602363,939066,0,3,193,2,90,1424,1,60,685,0,0,0,0,1,953,8132,4280,3852,457,287,170,4612,1729,2883,130,1195,6614,0,1,19978,0,134,87,6,1,8,6,34,11,31,9,0.0012907768129547055,11.0,8522.0,6168.0,151.0,0.7237737620276931,0.017718845341469138,257.0,252.0,0.0,21479436.0,8071.0,0.49,2.6,2543.0,8589.0,60.0,130.0,30.0,1.0,170.0,38.02123552123552,0.19812135059659813,0.5922823051535923,0.19040365575019041,9.050523670522297,0.12907768129547054,2020,9.888170848424235,0.08956587966488956,0.005534399593805534,0.33749369641956634,0.10287443267776097,0.05320759110490162,0.3493674721611999,0.016374858294495528,0.15052273586093967,0.8331024058445649,0.16038806456218424,-0.15909728774922954
