feature,label_en,official_item_name_raw,source_stat,stat_table_id,item_code,unit,observation_years,raw_or_derived,transformation_or_definition,analysis_role,missing_rate_panel,retrieval_recorded_at,metadata_note,label_safe,source_dataset,ssdse_version,ssdse_item_code,reference_year,formula,temporal_safe,source_url
commuters,commuting/schooling population denominator,,derived from e-Stat inputs,,,count / transformed count,"2010,2020",derived,Census/SSDS transport total; denominator differs by documented census table/year,raw outcome component,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,Census/SSDS transport total; denominator differs by documented census table/year,,
rail_users,rail/electric-train users,,derived from e-Stat inputs,,,count / transformed count,"2010,2020",derived,Census/SSDS transport category sum; category codes recorded in methodology,raw outcome component,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,Census/SSDS transport category sum; category codes recorded in methodology,,
car_users,private-car users,,derived from e-Stat inputs,,,count / transformed count,"2010,2020",derived,SSDS H730105,contextual transport outcome component,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,SSDS H730105,,
bike_users,bicycle users,,derived from e-Stat inputs,,,count / transformed count,"2010,2020",derived,SSDS H730111,contextual transport outcome component,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,SSDS H730111,,
rail_any_share,rail/electric-train use share,,derived from e-Stat inputs,,,proportion,"2010,2020",derived,rail_users / commuters; non-exclusive mode numerator,primary outcome,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,rail_users / commuters; non-exclusive mode numerator,,
car_any_share,private-car use share,,derived from e-Stat inputs,,,proportion,"2010,2020",derived,car_users / commuters; non-exclusive mode numerator,contextual outcome,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,car_users / commuters; non-exclusive mode numerator,,
bike_share,bicycle use share,,derived from e-Stat inputs,,,proportion,"2010,2020",derived,bike_users / commuters; non-exclusive mode numerator,contextual outcome,0.00027419797093501506,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Formula is defined here; source components are separately listed.,,derived from e-Stat inputs,,,,bike_users / commuters; non-exclusive mode numerator,,
A1101,Official e-Stat municipal indicator A1101,総人口,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,A1101,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,総人口,SSDSE-A-2026,2026,A1101,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1102,Official e-Stat municipal indicator A1102,日本人人口,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,A1102,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,日本人人口,SSDSE-A-2026,2026,A1102,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1301,Official e-Stat municipal indicator A1301,15歳未満人口,SSDSE-A-2026 official municipal dataset,SSDSE-A-2026,A1301,See preserved e-Stat metadata @unit,"2010,2020",raw,No panel transformation; model-time imputation/scaling is fit inside folds.,candidate socioeconomic predictor,0.0,2026-09-03T17:13:26+09:00; 2026-09-03T17:14:41+09:00; 2026-09-03T17:15:49+09:00; 2026-09-03T17:17:42+09:00; 2026-09-03T17:17:59+09:00,Official metadata retained under data/raw/ssds_metadata and data/raw/ssds_core; no hand-translated raw label is used.,15歳未満人口,SSDSE-A-2026,2026,A1301,2020,No panel transformation; model-time imputation/scaling is fit inside folds.,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
