feature,reference_year,official_item_name_raw,source_dataset,ssdse_version,ssdse_item_code,raw_or_derived,temporal_safe,source_url
A1101,2020,総人口,SSDSE-A-2026,2026,A1101,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A110101,2020,総人口（男）,SSDSE-A-2026,2026,A110101,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A110102,2020,総人口（女）,SSDSE-A-2026,2026,A110102,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1102,2020,日本人人口,SSDSE-A-2026,2026,A1102,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A110201,2020,日本人人口（男）,SSDSE-A-2026,2026,A110201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A110202,2020,日本人人口（女）,SSDSE-A-2026,2026,A110202,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1301,2020,15歳未満人口,SSDSE-A-2026,2026,A1301,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A130101,2020,15歳未満人口（男）,SSDSE-A-2026,2026,A130101,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A130102,2020,15歳未満人口（女）,SSDSE-A-2026,2026,A130102,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1302,2020,15～64歳人口,SSDSE-A-2026,2026,A1302,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A130201,2020,15～64歳人口（男）,SSDSE-A-2026,2026,A130201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A130202,2020,15～64歳人口（女）,SSDSE-A-2026,2026,A130202,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1303,2020,65歳以上人口,SSDSE-A-2026,2026,A1303,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A130301,2020,65歳以上人口（男）,SSDSE-A-2026,2026,A130301,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A130302,2020,65歳以上人口（女）,SSDSE-A-2026,2026,A130302,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1419,2020,75歳以上人口,SSDSE-A-2026,2026,A1419,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A141901,2020,75歳以上人口（男）,SSDSE-A-2026,2026,A141901,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A141902,2020,75歳以上人口（女）,SSDSE-A-2026,2026,A141902,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A1700,2020,外国人人口,SSDSE-A-2026,2026,A1700,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A4101,2023,出生数,SSDSE-A-2026,2026,A4101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
