stats_data_id,stat_code,stat_name,gov_org_code,gov_org,statistics_name,title_no,title,cycle,survey_date,open_date,updated_date,main_category_code,main_category,sub_category_code,sub_category,overall_total_number,collect_area,small_area,description,relevance,matched_filters,data_status,downloaded_rows,api_total_number,values_file,request_meta_file,metadata_file,notes
0003454512,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,17-1,利用交通手段 利用交通手段の種類数・利用交通手段，常住地又は従業地・通学地別通勤者・通学者数（15歳以上）－全国，都道府県,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,32832,全国,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段の種類数・利用交通手段"",""codes"":[{""code"":""21"",""level"":""2"",""name"":""鉄道・電車のみ"",""unit"":""""},{""code"":""301"",""level"":""2"",""name"":""鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""302"",""level"":""2"",""name"":""鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""303"",""level"":""2"",""name"":""鉄道・電車及び自家用車"",""unit"":""""},{""code"":""304"",""level"":""2"",""name"":""鉄道・電車及びハイヤー・タクシー"",""unit"":""""},{""code"":""305"",""level"":""2"",""name"":""鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""306"",""level"":""2"",""name"":""鉄道・電車及び自転車"",""unit"":""""},{""code"":""41"",""level"":""2"",""name"":""鉄道・電車，乗合バス及び勤め先・学校のバス"",""unit"":""""},{""code"":""42"",""level"":""2"",""name"":""鉄道・電車，乗合バス及び自家用車"",""unit"":""""},{""code"":""43"",""level"":""2"",""name"":""鉄道・電車，乗合バス及びハイヤー・タクシー"",""unit"":""""},{""code"":""44"",""level"":""2"",""name"":""鉄道・電車，乗合バス及びオートバイ"",""unit"":""""},{""code"":""45"",""level"":""2"",""name"":""鉄道・電車，乗合バス及び自転車"",""unit"":""""},{""code"":""46"",""level"":""2"",""name"":""鉄道・電車，勤め先・学校のバス及び自家用車"",""unit"":""""},{""code"":""47"",""level"":""2"",""name"":""鉄道・電車，勤め先・学校のバス及びオートバイ"",""unit"":""""},{""code"":""48"",""level"":""2"",""name"":""鉄道・電車，勤め先・学校のバス及び自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0003454512.json,利用交通手段の種類数・利用交通手段
0000033361,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01102,利用交通手段（３１）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,5332,該当なし,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段031326"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　2　鉄道・電車"",""unit"":""""},{""code"":""012"",""level"":""1"",""name"":""　　10　鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　　11　鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　　12　鉄道・電車及び自家用車"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　　13　鉄道・電車及びハイヤー・タクシー"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　　14　鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""017"",""level"":""1"",""name"":""　　15　鉄道・電車及び自転車"",""unit"":""""},{""code"":""025"",""level"":""1"",""name"":""　　22　鉄道・電車，乗合バス及び勤め先・学校のバス"",""unit"":""""},{""code"":""026"",""level"":""1"",""name"":""　　23　鉄道・電車，乗合バス及び自家用車"",""unit"":""""},{""code"":""027"",""level"":""1"",""name"":""　　24　鉄道・電車，乗合バス及びハイヤー・タクシー"",""unit"":""""},{""code"":""028"",""level"":""1"",""name"":""　　25　鉄道・電車，乗合バス及びオートバイ"",""unit"":""""},{""code"":""029"",""level"":""1"",""name"":""　　26　鉄道・電車，乗合バス及び自転車"",""unit"":""""},{""code"":""030"",""level"":""1"",""name"":""　　27　鉄道・電車，勤め先・学校のバス及び自家用車"",""unit"":""""},{""code"":""031"",""level"":""1"",""name"":""　　28　鉄道・電車，勤め先・学校のバス及びオートバイ"",""unit"":""""},{""code"":""032"",""level"":""1"",""name"":""　　29　鉄道・電車，勤め先・学校のバス及び自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033361.json,利用交通手段031326
0000033360,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01101,利用交通手段（３１）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,6968,該当なし,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段031326"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　2　鉄道・電車"",""unit"":""""},{""code"":""012"",""level"":""1"",""name"":""　　10　鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　　11　鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　　12　鉄道・電車及び自家用車"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　　13　鉄道・電車及びハイヤー・タクシー"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　　14　鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""017"",""level"":""1"",""name"":""　　15　鉄道・電車及び自転車"",""unit"":""""},{""code"":""025"",""level"":""1"",""name"":""　　22　鉄道・電車，乗合バス及び勤め先・学校のバス"",""unit"":""""},{""code"":""026"",""level"":""1"",""name"":""　　23　鉄道・電車，乗合バス及び自家用車"",""unit"":""""},{""code"":""027"",""level"":""1"",""name"":""　　24　鉄道・電車，乗合バス及びハイヤー・タクシー"",""unit"":""""},{""code"":""028"",""level"":""1"",""name"":""　　25　鉄道・電車，乗合バス及びオートバイ"",""unit"":""""},{""code"":""029"",""level"":""1"",""name"":""　　26　鉄道・電車，乗合バス及び自転車"",""unit"":""""},{""code"":""030"",""level"":""1"",""name"":""　　27　鉄道・電車，勤め先・学校のバス及び自家用車"",""unit"":""""},{""code"":""031"",""level"":""1"",""name"":""　　28　鉄道・電車，勤め先・学校のバス及びオートバイ"",""unit"":""""},{""code"":""032"",""level"":""1"",""name"":""　　29　鉄道・電車，勤め先・学校のバス及び自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033360.json,利用交通手段031326
0000033368,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01401,利用交通手段（３１）、１５歳以上自宅外就業者・通学者数 （従業地）１３大都市、常住地（５D）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,3170,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段031326"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　2　鉄道・電車"",""unit"":""人""},{""code"":""012"",""level"":""1"",""name"":""　　10　鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　　11　鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　　12　鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　　13　鉄道・電車及びハイヤー・タクシー"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　　14　鉄道・電車及びオートバイ"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　　15　鉄道・電車及び自転車"",""unit"":""人""},{""code"":""025"",""level"":""1"",""name"":""　　22　鉄道・電車，乗合バス及び勤め先・学校のバス"",""unit"":""人""},{""code"":""026"",""level"":""1"",""name"":""　　23　鉄道・電車，乗合バス及び自家用車"",""unit"":""人""},{""code"":""027"",""level"":""1"",""name"":""　　24　鉄道・電車，乗合バス及びハイヤー・タクシー"",""unit"":""人""},{""code"":""028"",""level"":""1"",""name"":""　　25　鉄道・電車，乗合バス及びオートバイ"",""unit"":""人""},{""code"":""029"",""level"":""1"",""name"":""　　26　鉄道・電車，乗合バス及び自転車"",""unit"":""人""},{""code"":""030"",""level"":""1"",""name"":""　　27　鉄道・電車，勤め先・学校のバス及び自家用車"",""unit"":""人""},{""code"":""031"",""level"":""1"",""name"":""　　28　鉄道・電車，勤め先・学校のバス及びオートバイ"",""unit"":""人""},{""code"":""032"",""level"":""1"",""name"":""　　29　鉄道・電車，勤め先・学校のバス及び自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033368.json,利用交通手段031326
0003454513,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,17-2,利用交通手段 利用交通手段の種類数・利用交通手段，常住地又は従業地・通学地別通勤者・通学者数（15歳以上）－全国，都道府県，市区町村,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,746700,全国,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段の種類数・利用交通手段"",""codes"":[{""code"":""21"",""level"":""2"",""name"":""鉄道・電車のみ"",""unit"":""""},{""code"":""31"",""level"":""2"",""name"":""鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""32"",""level"":""2"",""name"":""鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""33"",""level"":""2"",""name"":""鉄道・電車及び自家用車"",""unit"":""""},{""code"":""34"",""level"":""2"",""name"":""鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""35"",""level"":""2"",""name"":""鉄道・電車及び自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0003454513.json,利用交通手段の種類数・利用交通手段
0000033369,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01402,利用交通手段（３１）、１５歳以上自宅外就業者・通学者数 （従業地）１３大都市、（常住地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,63769,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段031326"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　2　鉄道・電車"",""unit"":""人""},{""code"":""012"",""level"":""1"",""name"":""　　10　鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　　11　鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　　12　鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　　13　鉄道・電車及びハイヤー・タクシー"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　　14　鉄道・電車及びオートバイ"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　　15　鉄道・電車及び自転車"",""unit"":""人""},{""code"":""025"",""level"":""1"",""name"":""　　22　鉄道・電車，乗合バス及び勤め先・学校のバス"",""unit"":""人""},{""code"":""026"",""level"":""1"",""name"":""　　23　鉄道・電車，乗合バス及び自家用車"",""unit"":""人""},{""code"":""027"",""level"":""1"",""name"":""　　24　鉄道・電車，乗合バス及びハイヤー・タクシー"",""unit"":""人""},{""code"":""028"",""level"":""1"",""name"":""　　25　鉄道・電車，乗合バス及びオートバイ"",""unit"":""人""},{""code"":""029"",""level"":""1"",""name"":""　　26　鉄道・電車，乗合バス及び自転車"",""unit"":""人""},{""code"":""030"",""level"":""1"",""name"":""　　27　鉄道・電車，勤め先・学校のバス及び自家用車"",""unit"":""人""},{""code"":""031"",""level"":""1"",""name"":""　　28　鉄道・電車，勤め先・学校のバス及びオートバイ"",""unit"":""人""},{""code"":""032"",""level"":""1"",""name"":""　　29　鉄道・電車，勤め先・学校のバス及び自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033369.json,利用交通手段031326
0003454515,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,19,利用交通手段 利用交通手段の種類数・利用交通手段，従業地・通学地（全国［総数］，都道府県，市区町村）別通勤者・通学者数（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口10万以上の市（常住地）,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,20066000,全国,0,,filtered_cdCat03,"[{""class_id"":""cat03"",""class_name"":""利用交通手段の種類数・利用交通手段"",""codes"":[{""code"":""21"",""level"":""2"",""name"":""鉄道・電車のみ"",""unit"":""""},{""code"":""31"",""level"":""2"",""name"":""鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""32"",""level"":""2"",""name"":""鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""33"",""level"":""2"",""name"":""鉄道・電車及び自家用車"",""unit"":""""},{""code"":""34"",""level"":""2"",""name"":""鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""35"",""level"":""2"",""name"":""鉄道・電車及び自転車"",""unit"":""""}],""param"":""cdCat03""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0003454515.json,利用交通手段の種類数・利用交通手段
0000033366,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01301,利用交通手段（１９）、１５歳以上自宅外就業者・通学者数 （常住地）人口１０万以上の市、従業地・通学地（５Ｄ）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,38970,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段031167"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　２　鉄道・電車"",""unit"":""人""},{""code"":""012"",""level"":""1"",""name"":""　　１０　鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　　１１　鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　　１２　鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　　１３　鉄道・電車及びオートバイ"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　　１４　鉄道・電車及び自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033366.json,利用交通手段031167
0000033362,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01103,利用交通手段（１９）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,203876,該当なし,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段031167"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　２　鉄道・電車"",""unit"":""""},{""code"":""012"",""level"":""1"",""name"":""　　１０　鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　　１１　鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　　１２　鉄道・電車及び自家用車"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　　１３　鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　　１４　鉄道・電車及び自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033362.json,利用交通手段031167
0000033363,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01104,利用交通手段（１９）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （従業地）市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,143352,該当なし,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段031167"",""codes"":[{""code"":""003"",""level"":""1"",""name"":""　　２　鉄道・電車"",""unit"":""""},{""code"":""012"",""level"":""1"",""name"":""　　１０　鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　　１１　鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　　１２　鉄道・電車及び自家用車"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　　１３　鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　　１４　鉄道・電車及び自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033363.json,利用交通手段031167
