stats_data_id,stat_code,stat_name,gov_org_code,gov_org,statistics_name,title_no,title,cycle,survey_date,open_date,updated_date,main_category_code,main_category,sub_category_code,sub_category,overall_total_number,collect_area,small_area,description
0003454512,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,17-1,利用交通手段 利用交通手段の種類数・利用交通手段，常住地又は従業地・通学地別通勤者・通学者数（15歳以上）－全国，都道府県,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,32832,全国,0,
0003454513,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,17-2,利用交通手段 利用交通手段の種類数・利用交通手段，常住地又は従業地・通学地別通勤者・通学者数（15歳以上）－全国，都道府県，市区町村,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,746700,全国,0,
0003454515,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,19,利用交通手段 利用交通手段の種類数・利用交通手段，従業地・通学地（全国［総数］，都道府県，市区町村）別通勤者・通学者数（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口10万以上の市（常住地）,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,20066000,全国,0,
0003454517,00200521,国勢調査,00200,総務省,令和２年国勢調査 従業地・通学地による人口・就業状態等集計　（主な内容：従業地・通学地による人口，昼夜間人口など）,20,利用交通手段 利用交通手段の種類数・利用交通手段，常住地（全国，都道府県，市区町村）別通勤者・通学者数（15歳以上）－全国［総数］，都道府県，21大都市，21大都市の区，県庁所在市，人口10万以上の市（従業地・通学地）,-,202010,2022-07-22,2026-05-29,02,人口・世帯,01,人口,20066000,全国,0,
0000033360,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01101,利用交通手段（３１）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,6968,該当なし,0,
0000033361,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01102,利用交通手段（３１）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,5332,該当なし,0,
0000033368,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01401,利用交通手段（３１）、１５歳以上自宅外就業者・通学者数 （従業地）１３大都市、常住地（５D）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,3170,該当なし,0,
0000033369,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01402,利用交通手段（３１）、１５歳以上自宅外就業者・通学者数 （従業地）１３大都市、（常住地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,63769,該当なし,0,
0000033362,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01103,利用交通手段（１９）、常住地による人口（４Ａ）、１５歳以上自宅外就業者・通学者数 （常住地）市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,203876,該当なし,0,
0000033363,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01104,利用交通手段（１９）、従業地・通学地による人口（３B）、１５歳以上自宅外就業者・通学者数 （従業地）市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,143352,該当なし,0,
