feature,missing_rate,n_unique,variance,near_zero_variance
A1101,0.0,1723,36398357198.26978,False
A1301,0.0,1586,498362811.316669,False
A1302,0.0,1697,13282571735.372934,False
A1303,0.0,1675,2262857491.1842437,False
A1419,0.0,1607,608610106.2069482,False
A1700,0.0,902,27257523.43851996,False
A7101,0.0,1688,8403764196.033447,False
A710101,0.0,1688,8360120662.894549,False
A810105,0.0,1543,1698912759.299001,False
A8301,0.0,1422,119730095.10481119,False
F1102,0.0,1693,7003563864.315373,False
F1107,0.0,1087,12053114.729153363,False
F1108,0.0,1674,2558892232.215323,False
F2201,0.0,1217,1819008.3789454899,False
F2211,0.0,1579,273620550.11272794,False
F2221,0.0,1677,4163484725.112469,False
log_population,0.0,1723,2.360054168188308,False
aging_share_65plus,0.0,1739,0.00628684836292482,False
share_75plus,0.0,1738,0.002782455694656705,False
youth_share_0_14,0.0,1739,0.0006052225914348349,False
working_age_share_15_64,0.0,1739,0.003205034131619129,False
foreign_population_share,0.0,1732,0.00018555567855854205,False
single_household_share,0.0,1739,0.006990230703946423,False
elderly_single_household_share,0.0,1737,0.0023457745435689625,False
unemployment_rate,0.0,1734,0.00013339576093530887,False
non_labor_force_share,0.0,1740,0.002716353924538513,False
primary_industry_share,0.0,1740,0.009906435235544376,False
secondary_industry_share,0.0,1738,0.006883393066711616,False
tertiary_industry_share,0.0,1738,0.010249024468162515,False
A141902,0.0,1566,224416445.02354077,False
A130301,0.0,1588,424122199.1421344,False
A710201,0.0,1717,34958850884.51695,False
F110202,0.0,1639,1456458537.9905994,False
F110801,0.0,1585,312547921.38572806,False
A141901,0.0,1481,94205558.49427107,False
A130101,0.0,1442,130728061.3447083,False
A130201,0.0,1659,3330991407.590577,False
C310202,0.0,802,304405.22957803734,False
A8201,0.0,1444,83497121.82699628,False
A110202,0.0,1693,8702897575.407276,False
F110702,0.0,745,2016153.9518893803,False
A1102,0.0,1725,32859746774.346184,False
A110101,0.0,1693,8607032952.373718,False
F110701,0.0,938,4229020.673790591,False
A130202,0.0,1679,3315759600.932712,False
C310201,0.0,951,545663.9681730153,False
F110802,0.0,1652,1083754085.7919726,False
A110102,0.0,1696,9617060512.226091,False
A110201,0.0,1688,7751825086.958082,False
A130102,0.0,1416,118605261.29003292,False
A130302,0.0,1627,728480737.8746285,False
F110201,0.0,1647,2076768091.618056,False
A810102,0.0,1649,2159637027.629348,False
A811102,0.0,1560,305216225.1027777,False
A1401,0.0,753,2039556.169780162,False
A1402,0.0,776,2185239.989951617,False
B1104,0.0,112,849023.8020433862,False
C120110,0.0,1740,1.258618535484148e+17,False
C120120,0.0,1689,8451372917.493625,False
D2201,0.013218390804597701,134,0.0824753581693011,False
D2202,0.013218390804597701,206,20.20779298744354,False
E9106,0.0,1542,1704161946.5886047,False
F1101,0.0,1700,7589625315.866357,False
F1301,0.0,313,1012130.3423159036,False
F1307,0.0,264,5810973.004567296,False
F1311,0.0,84,43688.44278981843,False
I5101,0.0,57,139.3279649421983,False
I5211,0.0,868,5004783.560403985,False
population_density,0.0,1740,680.1990960669161,False
