level_0,level_1,correlation
A7101,A710101,0.9999985071758059
A1301,A130101,0.9999914480420059
A1301,A130102,0.9999905739309939
A1101,A710201,0.9999811508249962
F1102,F1101,0.9999807787808905
A130101,A130102,0.9999640653699969
F1108,F110802,0.9998519513885088
A1101,A1102,0.9997578589623236
A1303,A130302,0.9997577553229693
A110101,A110201,0.9997543773434094
A110202,A110102,0.9997542059221775
A710201,A110101,0.9997397685180635
A1101,A110102,0.9997165804811845
A1401,A1402,0.9996886178042169
A710201,A1102,0.9996856698078754
A1101,A110101,0.9996833161882085
A110202,A1102,0.9996815023543788
A1102,A110201,0.9996424188454597
A710201,A110102,0.9996265047062681
A1302,A130201,0.9995903978479047
A1302,A130202,0.9995885158462843
A1303,A130301,0.9995838795361337
A1419,A141902,0.9995679261871241
F1102,F110201,0.9995214839896185
A1102,A110102,0.9995159391171238
F1108,F110801,0.9994865503875486
A710201,A110201,0.9994510516882233
A1101,A110201,0.999444554118605
F110202,F1101,0.9994357404157105
A1303,A1419,0.9994109937557649
A1101,A110202,0.999397733128175
A130102,A1402,0.9993975471790448
A1102,A110101,0.999397457255198
A1301,A1402,0.9993887634348274
F110201,F1101,0.9993872614984515
A130101,A1402,0.9993628772417813
A141902,A130302,0.9993303857206575
F1102,F110202,0.9993176131758232
A710201,A110202,0.999251328495305
A1419,A130302,0.9990956958983743
A130301,A141901,0.9990929837856238
A130201,C120120,0.999092302127261
A1419,A130301,0.9990910474244244
F1107,F110701,0.9990842439664406
A1303,A141902,0.9990681883484792
A130102,A1401,0.9989771359409582
A1419,A141901,0.9989704062621557
A1301,A1401,0.9989610350009511
A1302,A110101,0.9989340040932205
A130101,A1401,0.9989281866356985
A1302,A710201,0.9988859623768171
A710201,A130202,0.9988813924558896
A110101,A110102,0.9988008956305847
F110801,F110802,0.9987872508048159
A1302,C120120,0.9987837881960573
A1101,A130202,0.9987719252037556
A130201,A110101,0.9987546677671187
A110101,C120120,0.9987308074783057
A1101,A1302,0.9987132457697588
A130301,A130302,0.9987068505154938
A110201,F1101,0.9986864007279557
A110202,A110201,0.9986492010047071
A130202,A110102,0.9986430835446
A110201,C120120,0.9986279035278469
A1302,A110201,0.9986245640963395
A110102,A110201,0.9985687630930363
F1102,A110201,0.9985481552125636
A1102,A810102,0.9985261799457825
F110202,A1102,0.9985257466470517
A130201,A110201,0.9984895142022867
A1102,A130202,0.998450174124706
A110202,A110101,0.9984050240032676
A110201,A810102,0.9984041797873012
A1302,A1102,0.9983918231306719
A1102,F1101,0.9983882337019754
A130201,A130202,0.9983581666352774
A130301,A811102,0.9983457538959668
F110202,A110202,0.9983042971584282
A110101,A130202,0.9982926021028445
A110202,A130202,0.9982776240192454
A1303,A141901,0.9982446190375986
A1101,F110202,0.9982035862679678
A110101,F1101,0.9981938993807207
A8201,A811102,0.9981768520134827
F1102,A1102,0.9981573525730868
A710201,C120120,0.9981161282358545
A710201,F110202,0.9980827296932918
F1107,F110702,0.998078171956304
A710201,A130201,0.9980712910891745
F110202,A110201,0.9980663607883383
A1101,A810102,0.9980561910054141
F110202,A110102,0.9980430328220523
A710201,A810102,0.9980333428550131
A7101,A130202,0.9980329627833607
A710101,A130202,0.9980305681521917
F1102,A110101,0.9980151640202248
A141902,A130301,0.9979916398052863
A110202,A810102,0.9979863128273119
A141901,A811102,0.9979431350335385
A130202,A110201,0.9979390284375667
A1101,F1101,0.9979281646559011
A1302,A110102,0.9979221393006724
A110101,A810102,0.9979191257437455
A110201,F110201,0.997903178978375
A1101,C120120,0.9979022104732851
A1303,A811102,0.9978913743910466
A710201,F1101,0.9978625208188833
A1101,A130201,0.9978356115573513
F1108,A811102,0.9977907801710745
F110802,A811102,0.997768779995221
F110202,A110101,0.997758134278372
A1102,C120120,0.9977418734075628
F110202,F110201,0.9976968940301553
A1101,F1102,0.9976616466412085
A130202,C120120,0.9976535401799658
F1102,A710201,0.9976084602396464
A110102,A810102,0.9976039799600598
A1302,A110202,0.9975172471266078
A130201,A1102,0.9975147802194142
A110202,F1101,0.9974519123481788
F1102,C120120,0.9974401663280648
C120120,F1101,0.9974081199078997
F2221,F110202,0.9973564535953703
A1302,A7101,0.9973082290066118
A1302,A710101,0.9972910166166953
F2221,F1101,0.9972254010583422
A141902,A141901,0.9972053075164504
A110101,F110201,0.9971825198885703
F1102,F2221,0.9971817152453437
F2221,C120120,0.9971812571835937
F1102,A110202,0.9971337551779088
A1419,A811102,0.9971262953350281
F2221,A1102,0.9971245593856914
A130101,F1101,0.9971185157371161
F110201,C120120,0.9971147809841124
A110102,F1101,0.9970949668101626
A1301,F1101,0.9970855751735553
F1102,A130101,0.9970714234439414
F110801,A811102,0.9970443569383732
A141901,A130302,0.9970385282254703
A1301,F1102,0.9970348560478832
A130102,F1101,0.9970326412995537
A130302,A811102,0.9969861003056736
F1102,A130102,0.996978115431822
A710101,A110102,0.99695146897289
A7101,A110102,0.9969488850933582
F2221,A110201,0.9969444325445818
A8201,F110802,0.9969092973907151
A7101,A710201,0.9968966345408942
A710101,A710201,0.9968877542470925
A1102,F110201,0.9968008025855853
A1101,A7101,0.9967894226405274
A1101,A710101,0.9967797614926874
F1108,A8201,0.9967564919256542
F2221,A130202,0.996749635088111
A130101,A110201,0.9967490486064076
F1102,A110102,0.996745559030177
A1302,F2221,0.9967380700340436
A1301,A110201,0.9967267717688321
F110202,A130101,0.9967108496145828
A1301,F110202,0.9967069689237726
F1108,A130301,0.9966939548340457
A110201,A130102,0.9966850399446823
F110202,A130102,0.9966845508891446
A1303,F110802,0.996680062915049
A1303,F1108,0.9966731891739973
A1302,A810102,0.9966706825756958
A810102,C120120,0.9966615371570269
A130101,A1102,0.9966562113488397
A1301,A1102,0.9966558964910776
F2221,A110202,0.996640470404423
A1102,A130102,0.99663722303089
A1101,F2221,0.9966350127667885
A810102,F1101,0.9966243309378969
F2221,A710201,0.9966216042360879
F110202,C120120,0.9965781338795964
F110202,A130202,0.9965606722148044
A130202,A810102,0.9965434997864495
A110102,C120120,0.9965365423595627
F2221,A110101,0.9964803304988087
F1102,A810102,0.9964707453323416
F2221,A810102,0.9964681390166181
A130301,F110802,0.9964408605798607
A1302,F110202,0.9963922220468696
A130201,A110102,0.9963844050221186
A130301,F110801,0.9963787214553654
A1302,F1101,0.9963768185431333
A130101,A110101,0.9963319001109513
A130101,F110201,0.9963264824493958
