feature,missing_rate
code,0.0
year,0.0
commuters,0.0
rail_users,0.0
car_users,0.0
bike_users,0.0
rail_any_share,0.00026198585276395077
car_any_share,0.00026198585276395077
bike_share,0.00026198585276395077
A1101,0.0
A1102,0.0
A1301,0.0
A1302,0.0
A1303,0.0
A1401,0.0
A1402,0.0
B1101,0.0
B1103,0.00995546240503013
B1104,0.0
C120110,0.0872412889703956
C120120,0.0872412889703956
D2201,0.10138852501964894
D2202,0.10138852501964894
D2203,0.0888132040869793
D2211,0.08907518993974325
D3201,0.0872412889703956
D320101,0.0872412889703956
E2101,0.0
E2501,0.0
E3101,0.0
E3501,0.0
E4101,0.0
E4501,0.0
E9106,0.0
F1101,0.0
F1102,0.0
F1107,0.0
F1108,0.0
F1301,0.0
F1307,0.0
F1311,0.0
I5101,0.0
I5102,0.0
I5103,0.0
I5211,0.0
I6100,0.0
population_density,0.0
aging_share_65plus,0.00026198585276395077
working_age_share_15_64,0.00026198585276395077
youth_share_0_14,0.00026198585276395077
log_commuters,0.0
rail_pp,0.00026198585276395077
