feature,feature_set,in_ssdse_core,in_expanded,source_dataset,source_table_or_dataset_id,source_item_codes,source_reference_years,max_source_reference_year,observation_year,raw_or_derived,formula,temporal_safe,outcome_related,provenance_complete,provenance_status,notes
A1101,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A1101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1301,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A1301,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1302,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A1302,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1303,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A1303,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1419,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A1419,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A1700,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A1700,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A7101,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A7101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A710101,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A710101,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A810105,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A810105,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
A8301,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,A8301,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F1102,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,F1102,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
F1107,SSDSE-A + e-Stat SSDS Expanded,True,True,SSDSE-A-2026,SSDSE-A-2026,F1107,2020,2020,2020,raw,No panel transformation; model-time imputation/scaling is fit inside folds.,True,False,True,pass,Year is read from preserved SSDS raw @time where applicable; population_density uses saved 2020 SSDS components.
