feature,n,missing_rate,min,p01,median,p99,max,outlier_iqr_count
year,3647,0.0,2010.0,2010.0,2010.0,2020.0,2020.0,0
commuters,3646,0.00027419797093501506,109.0,313.95000000000005,12085.0,346437.65000000066,3739935.0,197
rail_users,3646,0.00027419797093501506,0.0,0.0,316.5,106971.85000000076,1776293.0,485
car_users,3646,0.00027419797093501506,28.0,160.25,7222.0,144470.9,351689.0,156
bike_users,3646,0.00027419797093501506,0.0,3.0,589.0,49994.600000000006,496862.0,334
rail_any_share,3646,0.00027419797093501506,0.0,0.0,0.030353039953327707,0.4798329082038321,0.6291475441007425,277
car_any_share,3646,0.00027419797093501506,0.025969748719199805,0.0492789817764353,0.7075053387566674,0.8620883471375737,0.8938002296211252,0
bike_share,3646,0.00027419797093501506,0.0,0.00422690672215688,0.05569046841947495,0.26160693701276794,0.3551081547679496,35
A1101,3647,0.0,0.0,684.46,27162.0,743841.6399999997,8945695.0,197
A1102,3647,0.0,0.0,682.0,26807.0,716619.6799999998,8500358.0,194
A1301,3647,0.0,0.0,60.0,3241.0,95597.21999999999,946290.0,190
A1302,3647,0.0,0.0,352.14,15178.0,471566.26,6061805.0,210
A1303,3647,0.0,0.0,246.92000000000002,8052.0,183447.05999999985,1771978.0,187
A1401,3646,0.00027419797093501506,0.0,3.0,193.0,6271.400000000005,64025.0,190
A1402,3646,0.00027419797093501506,0.0,3.0,200.5,6181.600000000013,61315.0,189
B1101,3647,0.0,347.0,598.46,11469.0,114765.8,217767.0,71
B1103,3609,0.010419522895530574,118.0,347.0,4268.0,35818.640000000014,80301.0,97
B1104,3646,0.00027419797093501506,0.0,0.0,0.0,3662.1000000000004,18193.0,233
C120110,3482,0.045242665204277485,277488.0,699845.42,27740980.5,1300046967.21,18833176378.0,278
C120120,3482,0.045242665204277485,97.0,258.29,10277.5,360621.9,4423216.0,244
D2201,3429,0.05977515766383329,0.05,0.1,0.46,1.407199999999998,2.55,2
D2202,3429,0.05977515766383329,-9.6,0.3,5.5,21.17199999999998,41.6,32
D2203,3477,0.04661365505895256,38.9,68.852,87.4,99.22399999999998,124.1,5
D2211,3476,0.04688785302988758,-6.8,-2.0,9.5,21.3,67.4,2
D3201,3483,0.044968467233342475,996335.0,1918076.16,13338994.0,354096371.36,3172193697.0,218
D320101,3483,0.044968467233342475,25658.0,82440.24,3052315.0,126590969.719999,904917778.0,258
E2101,3647,0.0,0.0,0.0,7.0,91.0,886.0,127
E2501,3647,0.0,0.0,0.0,1299.0,38566.21999999998,373678.0,189
E3101,3647,0.0,0.0,0.0,3.0,51.07999999999993,539.0,129
E3501,3647,0.0,0.0,0.0,699.0,19903.199999999975,199721.0,191
E4101,3647,0.0,0.0,0.0,1.0,26.539999999999964,311.0,224
E4501,3647,0.0,0.0,0.0,533.0,20191.45999999998,222372.0,218
E9106,3646,0.00027419797093501506,25.0,66.0,2634.5,137269.30000000025,1804785.0,292
F1101,3646,0.00027419797093501506,133.0,367.65000000000003,13589.5,361290.60000000073,4365163.0,194
F1102,3647,0.0,0.0,349.38,12907.0,346201.3399999999,4111983.0,185
F1107,3647,0.0,0.0,8.0,669.0,19698.62,253180.0,203
F1108,3647,0.0,0.0,236.92000000000002,9247.0,211602.85999999996,2222493.0,190
F1301,3646,0.00027419797093501506,0.0,0.0,520.0,5751.000000000004,13020.0,101
F1307,3646,0.00027419797093501506,0.0,0.0,110.0,9229.00000000007,119840.0,345
F1311,3646,0.00027419797093501506,0.0,0.0,50.0,1148.5000000000127,12950.0,174
I5101,3646,0.00027419797093501506,0.0,0.0,2.0,46.0,423.0,207
I5102,3647,0.0,0.0,1.0,18.0,657.2399999999998,9668.0,248
I5103,3647,0.0,0.0,0.0,11.0,458.6199999999999,8308.0,267
I5211,3646,0.00027419797093501506,0.0,0.0,308.0,9773.350000000017,78829.0,189
I6100,3647,0.0,0.0,0.0,36.0,2485.999999999998,31848.0,311
population_density,3646,0.00027419797093501506,0.012907852276801721,0.04249652230720001,2.197119110654372,155.7604458893166,231.82090699461952,375
aging_share_65plus,3646,0.00027419797093501506,0.09192100538599642,0.15959684231184967,0.301112452943757,0.5218354617359603,0.6523898199875854,0
working_age_share_15_64,3646,0.00027419797093501506,0.3174872665534805,0.4054641172930504,0.569657974328813,0.6931831235256973,0.8902007083825265,1
youth_share_0_14,3646,0.00027419797093501506,0.0011806375442739079,0.059977359457561275,0.11963664433974969,0.18009992099243802,0.2345679012345679,2
log_commuters,3646,0.00027419797093501506,4.700480365792417,5.7522632690220625,9.399802817850503,12.75544792697168,15.134579056944832,0
rail_pp,3646,0.00027419797093501506,0.0,0.0,3.0353039953327707,47.98329082038321,62.914754410074245,277
A110101,1741,0.5226213326021387,0.0,329.8,11218.0,368355.59999999905,1867305.0,120
A110102,1741,0.5226213326021387,0.0,297.2,12069.0,390402.79999999993,1910186.0,120
A110201,1741,0.5226213326021387,0.0,327.40000000000003,11066.0,347059.7999999997,1787120.0,116
A110202,1741,0.5226213326021387,0.0,295.8,11871.0,375789.9999999991,1831470.0,117
A130101,1741,0.5226213326021387,0.0,24.0,1300.0,47153.19999999992,226591.0,110
