feature,reference_year,official_item_name_raw,source_dataset,raw_or_derived,temporal_safe,semantic_status
A1101,2020,総人口,SSDSE-A-2026,raw,True,pass
A110101,2020,総人口（男）,SSDSE-A-2026,raw,True,pass
A110102,2020,総人口（女）,SSDSE-A-2026,raw,True,pass
A1102,2020,日本人人口,SSDSE-A-2026,raw,True,pass
A110201,2020,日本人人口（男）,SSDSE-A-2026,raw,True,pass
A110202,2020,日本人人口（女）,SSDSE-A-2026,raw,True,pass
A1301,2020,15歳未満人口,SSDSE-A-2026,raw,True,pass
A130101,2020,15歳未満人口（男）,SSDSE-A-2026,raw,True,pass
A130102,2020,15歳未満人口（女）,SSDSE-A-2026,raw,True,pass
A1302,2020,15～64歳人口,SSDSE-A-2026,raw,True,pass
A130201,2020,15～64歳人口（男）,SSDSE-A-2026,raw,True,pass
A130202,2020,15～64歳人口（女）,SSDSE-A-2026,raw,True,pass
A1303,2020,65歳以上人口,SSDSE-A-2026,raw,True,pass
A130301,2020,65歳以上人口（男）,SSDSE-A-2026,raw,True,pass
A130302,2020,65歳以上人口（女）,SSDSE-A-2026,raw,True,pass
A1419,2020,75歳以上人口,SSDSE-A-2026,raw,True,pass
A141901,2020,75歳以上人口（男）,SSDSE-A-2026,raw,True,pass
A141902,2020,75歳以上人口（女）,SSDSE-A-2026,raw,True,pass
A1700,2020,外国人人口,SSDSE-A-2026,raw,True,pass
A4101,2023,出生数,SSDSE-A-2026,raw,False,pass
A4200,2023,死亡数,SSDSE-A-2026,raw,False,pass
A5101,2024,転入者数（日本人移動者）,SSDSE-A-2026,raw,False,pass
A5102,2024,転出者数（日本人移動者）,SSDSE-A-2026,raw,False,pass
A7101,2020,世帯数,SSDSE-A-2026,raw,True,pass
A710101,2020,一般世帯数,SSDSE-A-2026,raw,True,pass
A710201,2020,一般世帯人員数,SSDSE-A-2026,raw,True,pass
A810102,2020,核家族世帯数,SSDSE-A-2026,raw,True,pass
A810105,2020,単独世帯数,SSDSE-A-2026,raw,True,pass
A811102,2020,65歳以上の世帯員のいる核家族世帯数,SSDSE-A-2026,raw,True,pass
A8201,2020,夫65歳以上、妻60歳以上の夫婦のみの世帯数,SSDSE-A-2026,raw,True,pass
A8301,2020,65歳以上世帯員の単独世帯数,SSDSE-A-2026,raw,True,pass
A9101,2023,婚姻件数,SSDSE-A-2026,raw,False,pass
A9201,2023,離婚件数,SSDSE-A-2026,raw,False,pass
B1101,2024,総面積（北方地域及び竹島を除く）,SSDSE-A-2026,raw,False,pass
B1103,2024,可住地面積,SSDSE-A-2026,raw,False,pass
C2108,2021,事業所数（民営）,SSDSE-A-2026,raw,False,pass
C210832,2021,事業所数（民営）（農業、林業）,SSDSE-A-2026,raw,False,pass
C210833,2021,事業所数（民営）（漁業）,SSDSE-A-2026,raw,False,pass
