code,in_existing_analysis,in_ssdse_a_2026,classification,parent_city_code
01100,True,True,common_code,
01101,True,False,designated_city_administrative_ward,01100
01102,True,False,designated_city_administrative_ward,01100
01103,True,False,designated_city_administrative_ward,01100
01104,True,False,designated_city_administrative_ward,01100
01105,True,False,designated_city_administrative_ward,01100
01106,True,False,designated_city_administrative_ward,01100
01107,True,False,designated_city_administrative_ward,01100
01108,True,False,designated_city_administrative_ward,01100
01109,True,False,designated_city_administrative_ward,01100
01110,True,False,designated_city_administrative_ward,01100
01202,True,True,common_code,
01203,True,True,common_code,
01204,True,True,common_code,
01205,True,True,common_code,
01206,True,True,common_code,
01207,True,True,common_code,
01208,True,True,common_code,
01209,True,True,common_code,
01210,True,True,common_code,
01211,True,True,common_code,
01212,True,True,common_code,
01213,True,True,common_code,
01214,True,True,common_code,
01215,True,True,common_code,
01216,True,True,common_code,
01217,True,True,common_code,
01218,True,True,common_code,
01219,True,True,common_code,
01220,True,True,common_code,
01221,True,True,common_code,
01222,True,True,common_code,
01223,True,True,common_code,
01224,True,True,common_code,
01225,True,True,common_code,
01226,True,True,common_code,
01227,True,True,common_code,
01228,True,True,common_code,
01229,True,True,common_code,
01230,True,True,common_code,
01231,True,True,common_code,
01233,True,True,common_code,
01234,True,True,common_code,
01235,True,True,common_code,
01236,True,True,common_code,
01303,True,True,common_code,
01304,True,True,common_code,
01331,True,True,common_code,
01332,True,True,common_code,
01333,True,True,common_code,
01334,True,True,common_code,
01337,True,True,common_code,
01343,True,True,common_code,
01345,True,True,common_code,
01346,True,True,common_code,
01347,True,True,common_code,
01361,True,True,common_code,
01362,True,True,common_code,
01363,True,True,common_code,
01364,True,True,common_code,
01367,True,True,common_code,
01370,True,True,common_code,
01371,True,True,common_code,
01391,True,True,common_code,
01392,True,True,common_code,
01393,True,True,common_code,
01394,True,True,common_code,
01395,True,True,common_code,
01396,True,True,common_code,
01397,True,True,common_code,
01398,True,True,common_code,
01399,True,True,common_code,
01400,True,True,common_code,
01401,True,True,common_code,
01402,True,True,common_code,
01403,True,True,common_code,
01404,True,True,common_code,
01405,True,True,common_code,
01406,True,True,common_code,
01407,True,True,common_code,
01408,True,True,common_code,
01409,True,True,common_code,
01423,True,True,common_code,
01424,True,True,common_code,
01425,True,True,common_code,
01427,True,True,common_code,
01428,True,True,common_code,
01429,True,True,common_code,
01430,True,True,common_code,
01431,True,True,common_code,
01432,True,True,common_code,
01433,True,True,common_code,
01434,True,True,common_code,
01436,True,True,common_code,
01437,True,True,common_code,
01438,True,True,common_code,
01452,True,True,common_code,
01453,True,True,common_code,
01454,True,True,common_code,
01455,True,True,common_code,
01456,True,True,common_code,
01457,True,True,common_code,
01458,True,True,common_code,
01459,True,True,common_code,
01460,True,True,common_code,
01461,True,True,common_code,
01462,True,True,common_code,
01463,True,True,common_code,
01464,True,True,common_code,
01465,True,True,common_code,
01468,True,True,common_code,
01469,True,True,common_code,
01470,True,True,common_code,
01471,True,True,common_code,
01472,True,True,common_code,
01481,True,True,common_code,
01482,True,True,common_code,
01483,True,True,common_code,
01484,True,True,common_code,
01485,True,True,common_code,
01486,True,True,common_code,
01487,True,True,common_code,
01511,True,True,common_code,
01512,True,True,common_code,
01513,True,True,common_code,
01514,True,True,common_code,
01516,True,True,common_code,
01517,True,True,common_code,
