model,feature_set,split,n_features,rmse,mae,r2,spearman,sensitivity_axis,imputation_strategy
extra_trees,all_features,random_kfold,69,0.039365288306017,0.0247181807384802,0.8530356799129469,0.7645514086472921,,
extra_trees,all_features,prefecture_group_kfold,69,0.0493577387943919,0.0290752212367833,0.7689555463872888,0.7305799344533054,,
extra_trees,corr_reduced,random_kfold,21,0.0391541568848256,0.0246081058550939,0.8546079064783082,0.763905792868683,,
extra_trees,corr_reduced,prefecture_group_kfold,21,0.0491565278874479,0.0290384325536215,0.7708354504406689,0.7293616276995721,,
hist_gbdt,all_features,random_kfold,69,0.0387950998679226,0.0246453186527145,0.8572622702040563,0.7551969822422642,,
hist_gbdt,all_features,prefecture_group_kfold,69,0.046838829758429,0.0283884794302218,0.7919359208724408,0.7130081103908058,,
hist_gbdt,corr_reduced,random_kfold,21,0.0389343198544429,0.0251040191493484,0.8562359755901175,0.7409325833866272,,
hist_gbdt,corr_reduced,prefecture_group_kfold,21,0.0479889739318788,0.0292452657331413,0.7815922900311681,0.6941165497801184,,
elastic_net,all_features,random_kfold,69,0.0470140853369005,0.0308464076029265,0.7903759925119149,0.7106992619317677,,
elastic_net,all_features,prefecture_group_kfold,69,0.0489498532504505,0.0321534156429794,0.7727584070133862,0.6758042679444421,,
elastic_net,corr_reduced,random_kfold,21,0.0474396177476551,0.0311635041111953,0.7865641348985314,0.7074923348422665,,
elastic_net,corr_reduced,prefecture_group_kfold,21,0.0492412678860343,0.0323110656876293,0.770044664646379,0.6768983746244437,,
extra_trees,all_features,prefecture_group_kfold,69,0.0493577387943919,0.0290752212367833,0.7689555463872888,0.7305799344533054,imputation,median
extra_trees,all_features,prefecture_group_kfold,69,0.0491127986464317,0.029003078607644,0.7712429948652163,0.7308343346923668,imputation,mean
xgboost,all_features,prefecture_group_kfold,69,0.0457338425143354,0.0275681205610759,0.8016371129166563,0.7298400302193305,,
catboost,all_features,prefecture_group_kfold,69,0.0486362604615556,0.0284908269982552,0.7756606857978143,0.7314645185725203,,
