model,feature_set,split,n_features,rmse,mae,r2,spearman,sensitivity_axis,imputation_strategy
extra_trees,all_features,random_kfold,69,0.03936528830601701,0.024718180738480217,0.8530356799129469,0.7645514086472921,,
extra_trees,all_features,prefecture_group_kfold,69,0.049357738794391925,0.029075221236783313,0.7689555463872888,0.7305799344533054,,
extra_trees,corr_reduced,random_kfold,21,0.0391541568848256,0.0246081058550939,0.8546079064783082,0.763905792868683,,
extra_trees,corr_reduced,prefecture_group_kfold,21,0.04915652788744793,0.02903843255362153,0.7708354504406689,0.7293616276995721,,
hist_gbdt,all_features,random_kfold,69,0.03879509986792265,0.02464531865271451,0.8572622702040563,0.7551969822422642,,
hist_gbdt,all_features,prefecture_group_kfold,69,0.046838829758429096,0.028388479430221825,0.7919359208724408,0.7130081103908058,,
hist_gbdt,corr_reduced,random_kfold,21,0.038934319854442935,0.025104019149348407,0.8562359755901175,0.7409325833866272,,
hist_gbdt,corr_reduced,prefecture_group_kfold,21,0.04798897393187887,0.029245265733141318,0.7815922900311681,0.6941165497801184,,
elastic_net,all_features,random_kfold,69,0.04701408533690055,0.030846407602926562,0.7903759925119149,0.7106992619317677,,
elastic_net,all_features,prefecture_group_kfold,69,0.04894985325045056,0.03215341564297947,0.7727584070133862,0.6758042679444421,,
elastic_net,corr_reduced,random_kfold,21,0.04743961774765514,0.031163504111195305,0.7865641348985314,0.7074923348422665,,
elastic_net,corr_reduced,prefecture_group_kfold,21,0.049241267886034334,0.03231106568762932,0.770044664646379,0.6768983746244437,,
extra_trees,all_features,prefecture_group_kfold,69,0.04935773879439193,0.029075221236783313,0.7689555463872888,0.7305799344533054,imputation,median
extra_trees,all_features,prefecture_group_kfold,69,0.04911279864643178,0.02900307860764409,0.7712429948652163,0.7308343346923668,imputation,mean
